imdb_id,user_id,rating
tt0114709,1,4
tt0114709,2,5
tt0114709,7,4
tt0114709,10,3
tt0114709,12,5
tt0114709,14,2.5
tt0114709,21,3
tt0114709,24,4.5
tt0114709,32,3.5
tt0114709,35,4
tt0114709,42,4
tt0114709,44,3.5
tt0114709,51,5
tt0114709,53,3.5
tt0114709,54,4
tt0114709,57,3.5
tt0114709,64,5
tt0114709,68,3.5
tt0114709,72,4
tt0114709,79,4.5
tt0114709,82,5
tt0114709,87,0.5
tt0114709,88,5
tt0114709,94,4
tt0114709,95,3
tt0114709,96,4
tt0114709,97,3
tt0114709,104,4
tt0114709,109,5
tt0114709,111,4
tt0114709,112,4.5
tt0114709,123,4
tt0114709,130,5
tt0114709,135,3
tt0114709,144,3.5
tt0114709,148,3
tt0114709,149,4
tt0114709,165,4
tt0114709,170,5
tt0114709,174,4
tt0114709,177,5
tt0114709,180,2
tt0114709,181,3.5
tt0114709,185,4
tt0114709,187,2
tt0114709,189,3
tt0114709,195,5
tt0114709,196,2
tt0114709,198,3
tt0114709,200,3
tt0114709,202,5
tt0114709,203,5
tt0114709,206,5
tt0114709,210,5
tt0114709,212,4
tt0114709,216,5
tt0114709,221,4
tt0114709,224,3
tt0114709,226,4.5
tt0114709,227,5
tt0114709,229,4
tt0114709,237,5
tt0114709,259,5
tt0114709,260,4
tt0114709,265,4
tt0114709,280,4
tt0114709,283,4
tt0114709,287,4
tt0114709,291,4
tt0114709,294,5
tt0114709,301,4
tt0114709,302,5
tt0114709,303,4.5
tt0114709,304,3
tt0114709,305,5
tt0114709,314,4
tt0114709,320,4
tt0114709,322,5
tt0114709,324,3.5
tt0114709,326,3
tt0114709,328,4.5
tt0114709,330,3.5
tt0114709,336,5
tt0114709,339,2.5
tt0114709,340,4
tt0114709,342,5
tt0114709,354,4
tt0114709,378,3
tt0114709,385,5
tt0114709,391,4
tt0114709,392,4.5
tt0114709,400,5
tt0114709,408,4
tt0114709,414,5
tt0114709,415,3.5
tt0114709,418,5
tt0114709,427,4
tt0114709,428,4
tt0114709,436,4
tt0114709,439,4
tt0114709,440,5
tt0114709,444,3.5
tt0114709,446,4
tt0114709,449,3.5
tt0114709,454,4.5
tt0114709,456,3
tt0114709,458,3.5
tt0114709,460,3
tt0114709,461,4.5
tt0114709,463,4
tt0114709,465,5
tt0114709,468,2
tt0114709,471,4
tt0114709,472,4
tt0114709,473,3
tt0114709,475,4
tt0114709,477,3
tt0114709,478,4
tt0114709,479,2
tt0114709,482,3
tt0114709,486,2.5
tt0114709,487,4.5
tt0114709,489,4
tt0114709,490,4
tt0114709,495,3
tt0114709,497,4.5
tt0114709,498,5
tt0114709,499,2.5
tt0114709,503,4
tt0114709,507,3
tt0114709,513,3
tt0114709,517,5
tt0114709,518,4
tt0114709,519,3
tt0114709,526,5
tt0114709,527,3
tt0114709,534,4
tt0114709,536,2.5
tt0114709,537,4
tt0114709,540,4
tt0114709,542,4
tt0114709,545,3
tt0114709,553,4
tt0114709,557,4
tt0114709,559,2
tt0114709,560,3
tt0114709,562,4
tt0114709,570,4
tt0114709,572,4
tt0114709,574,3
tt0114709,575,5
tt0114709,578,3
tt0114709,581,4.5
tt0114709,589,3.5
tt0114709,598,4
tt0114709,608,4
tt0114709,614,3
tt0114709,624,4
tt0114709,627,3.5
tt0114709,628,3
tt0114709,629,3.5
tt0114709,630,4
tt0114709,638,4
tt0114709,641,5
tt0114709,642,4.5
tt0114709,649,4
tt0114709,659,3
tt0114709,661,4.5
tt0114709,663,4
tt0114709,669,3
tt0114709,670,5
tt0114709,672,3.5
tt0114709,677,3.5
tt0114709,683,3
tt0114709,687,2.5
tt0114709,692,5
tt0114709,700,4
tt0114709,707,5
tt0114709,708,2.5
tt0114709,710,5
tt0114709,711,3.5
tt0114709,715,4
tt0114709,716,4.5
tt0114709,719,4
tt0114709,720,3.5
tt0114709,725,4
tt0114709,726,3
tt0114709,736,3.5
tt0114709,737,5
tt0114709,743,2
tt0114709,751,3
tt0114709,753,5
tt0114709,758,4.5
tt0114709,759,3
tt0114709,763,5
tt0114709,775,5
tt0114709,776,4.5
tt0114709,783,4.5
tt0114709,797,5
tt0114709,805,5
tt0114709,823,3
tt0114709,826,5
tt0114709,841,4
tt0114709,846,4
tt0114709,847,4.5
tt0114709,857,4
tt0114709,867,4
